,Segment,Cluster,Total_Flights,Redemption_Rate
0,Frequent_Non_Redeemers,1,194.6,0.266623195600665
1,Engaged_Redeemers,0,298.1,0.5262699087068943
3,Engaged_Redeemers,0,195.9,0.42313279682708055
4,Frequent_Non_Redeemers,1,172.7,0.0
5,Frequent_Non_Redeemers,1,469.4,0.16521791440783143
6,Engaged_Redeemers,0,196.1,0.4159333295715604
7,Frequent_Non_Redeemers,1,215.1,0.1835277234515671
8,Engaged_Redeemers,0,149.5,0.5485911238928989
9,Engaged_Redeemers,0,220.1,0.7072857456887587
10,Frequent_Non_Redeemers,1,240.8,0.17749203209143863
11,Engaged_Redeemers,0,159.6,0.345556288323296
12,Frequent_Non_Redeemers,1,86.0,0.20070913740990468
13,Frequent_Non_Redeemers,1,314.7,0.26799345032761807
14,Engaged_Redeemers,0,148.4,0.6207344434899552
15,Engaged_Redeemers,0,197.1,0.49538311780740574
16,Engaged_Redeemers,0,129.9,0.33549014541435196
17,Frequent_Non_Redeemers,1,279.9,0.0872164491521609
18,Frequent_Non_Redeemers,1,206.0,0.0
20,Engaged_Redeemers,0,189.5,0.8969794287461846
21,Occasional_Flyers,2,11.0,0.0
22,Engaged_Redeemers,0,169.7,0.5624783325088325
23,Frequent_Non_Redeemers,1,140.3,0.10862748796658939
24,Engaged_Redeemers,0,231.0,0.44601818768540513
25,Frequent_Non_Redeemers,1,169.2,0.0
26,Frequent_Non_Redeemers,1,254.1,0.13805577818695877
27,Engaged_Redeemers,0,94.3,0.5007277135490608
28,Frequent_Non_Redeemers,1,183.1,0.0
29,Frequent_Non_Redeemers,1,294.4,0.31003145309937036
30,Frequent_Non_Redeemers,1,186.1,0.09503108370116133
32,Frequent_Non_Redeemers,1,77.9,0.0
33,Engaged_Redeemers,0,266.7,0.958477748028531
34,Occasional_Flyers,2,50.0,0.3680297397769517
35,Frequent_Non_Redeemers,1,145.3,0.2986334465780603
36,Frequent_Non_Redeemers,1,187.8,0.18118172976076366
37,Frequent_Non_Redeemers,1,242.5,0.12332757837125231
38,Frequent_Non_Redeemers,1,235.3,0.0
40,Frequent_Non_Redeemers,1,139.4,0.2017915102892063
41,Frequent_Non_Redeemers,1,160.6,0.28091150263086
42,Frequent_Non_Redeemers,1,140.3,0.1623819276287126
43,Frequent_Non_Redeemers,1,277.2,0.22654260894310319
44,Engaged_Redeemers,0,185.1,0.5253750579403752
46,Occasional_Flyers,2,31.0,0.0
47,Occasional_Flyers,2,63.0,0.0
48,Frequent_Non_Redeemers,1,186.8,0.2905486778474546
49,Frequent_Non_Redeemers,1,199.7,0.252196038109149
50,Frequent_Non_Redeemers,1,199.2,0.2715630618918938
52,Frequent_Non_Redeemers,1,238.2,0.0
53,Engaged_Redeemers,0,207.3,0.4144067379039351
54,Frequent_Non_Redeemers,1,136.5,0.0
55,Frequent_Non_Redeemers,1,246.0,0.0
56,Frequent_Non_Redeemers,1,193.9,0.1282407686576393
57,Engaged_Redeemers,0,178.6,0.6559878340285916
58,Frequent_Non_Redeemers,1,222.4,0.31282230682807904
59,Engaged_Redeemers,0,212.4,0.43422977866146634
60,Frequent_Non_Redeemers,1,251.3,0.10049507805254804
61,Engaged_Redeemers,0,187.5,0.39807328456606733
62,Occasional_Flyers,2,6.0,0.0
63,Engaged_Redeemers,0,250.2,0.3959367357559377
64,Engaged_Redeemers,0,255.9,0.5501829775037818
65,Engaged_Redeemers,0,89.3,0.37555905166743375
66,Frequent_Non_Redeemers,1,231.5,0.09988073451766476
68,Engaged_Redeemers,0,167.6,0.511717262283322
69,Occasional_Flyers,2,52.0,0.0
70,Frequent_Non_Redeemers,1,257.1,0.24521963748072628
71,Engaged_Redeemers,0,149.5,0.490768241187411
73,Occasional_Flyers,2,58.0,0.0
74,Frequent_Non_Redeemers,1,164.2,0.11230701568972962
75,Engaged_Redeemers,0,186.0,1.0
76,Engaged_Redeemers,0,98.3,0.9492348023239338
78,Frequent_Non_Redeemers,1,76.3,0.0
79,Engaged_Redeemers,0,130.7,1.0
80,Frequent_Non_Redeemers,1,220.0,0.2935473404331894
81,Engaged_Redeemers,0,248.0,0.36977194341051983
82,Frequent_Non_Redeemers,1,238.9,0.207294237081597
85,Occasional_Flyers,2,12.0,0.0
87,Occasional_Flyers,2,15.0,1.0
88,Frequent_Non_Redeemers,1,128.3,0.0
89,Engaged_Redeemers,0,230.20000000000002,0.3797787257064034
90,Engaged_Redeemers,0,217.6,0.4297998579436279
91,Frequent_Non_Redeemers,1,169.8,0.057510451212129846
92,Frequent_Non_Redeemers,1,129.4,0.30891618035595036
93,Engaged_Redeemers,0,156.8,0.7256696635036223
94,Frequent_Non_Redeemers,1,203.5,0.2535377374145119
96,Frequent_Non_Redeemers,1,192.9,0.0
97,Frequent_Non_Redeemers,1,199.2,0.27908867789156944
99,Frequent_Non_Redeemers,1,162.8,0.17119140418596607
100,Frequent_Non_Redeemers,1,165.3,0.0
101,Engaged_Redeemers,0,258.3,0.6319250529360879
102,Engaged_Redeemers,0,172.6,0.3428009435481404
103,Engaged_Redeemers,0,92.4,1.0
104,Frequent_Non_Redeemers,1,260.1,0.193329910990793
105,Frequent_Non_Redeemers,1,191.6,0.15483267308578288
106,Engaged_Redeemers,0,141.2,0.615429033691592
107,Frequent_Non_Redeemers,1,252.5,0.331508656230716
108,Engaged_Redeemers,0,215.9,0.6962371057972575
110,Engaged_Redeemers,0,158.2,0.5687613735846375
111,Engaged_Redeemers,0,128.6,0.6274859658671854
112,Engaged_Redeemers,0,134.5,0.7748734087648761
114,Frequent_Non_Redeemers,1,232.0,0.20204604137151128
115,Frequent_Non_Redeemers,1,179.3,0.2201818735049178
116,Frequent_Non_Redeemers,1,261.0,0.34909030075653935
117,Frequent_Non_Redeemers,1,81.4,0.23007213166226742
118,Occasional_Flyers,2,59.0,0.17467659174676592
119,Engaged_Redeemers,0,142.3,0.674641972818257
120,Frequent_Non_Redeemers,1,159.8,0.18432001510926843
121,Occasional_Flyers,2,31.0,0.0
123,Occasional_Flyers,2,20.0,0.0
124,Engaged_Redeemers,0,179.0,0.5534076274293702
126,Occasional_Flyers,2,57.9,0.30834511171019025
127,Frequent_Non_Redeemers,1,163.2,0.22401120963862922
130,Engaged_Redeemers,0,271.8,0.3781990729998099
131,Frequent_Non_Redeemers,1,79.0,0.17604217243531942
132,Occasional_Flyers,2,22.0,0.0
133,Frequent_Non_Redeemers,1,158.5,0.0
134,Engaged_Redeemers,0,213.7,0.5671695933811037
135,Engaged_Redeemers,0,166.2,0.5654062427902243
136,Frequent_Non_Redeemers,1,250.7,0.2864424040743483
137,Frequent_Non_Redeemers,1,205.6,0.0
138,Engaged_Redeemers,0,123.4,0.5291707687819429
139,Frequent_Non_Redeemers,1,120.4,0.24774064484750158
141,Engaged_Redeemers,0,427.7,0.5490235190714549
142,Frequent_Non_Redeemers,1,178.7,0.16807504808732354
143,Engaged_Redeemers,0,231.4,0.40271766886799293
144,Frequent_Non_Redeemers,1,224.5,0.1984698067933434
145,Frequent_Non_Redeemers,1,232.8,0.22836457324015075
146,Frequent_Non_Redeemers,1,253.20000000000002,0.12249232775795584
147,Frequent_Non_Redeemers,1,218.8,0.0
148,Frequent_Non_Redeemers,1,106.7,0.3086210043316526
149,Occasional_Flyers,2,31.0,0.0
150,Frequent_Non_Redeemers,1,168.7,0.0
151,Engaged_Redeemers,0,153.5,0.3780637857043243
153,Engaged_Redeemers,0,263.7,1.0
154,Frequent_Non_Redeemers,1,146.1,0.2918322057852286
157,Frequent_Non_Redeemers,1,157.2,0.0
158,Frequent_Non_Redeemers,1,203.9,0.0
160,Frequent_Non_Redeemers,1,263.6,0.06665129884582366
161,Occasional_Flyers,2,40.0,0.3274159103043246
162,Frequent_Non_Redeemers,1,231.3,0.1523862291551994
163,Frequent_Non_Redeemers,1,193.7,0.18463253424450057
164,Engaged_Redeemers,0,214.2,0.5108122495179023
165,Frequent_Non_Redeemers,1,222.8,0.0
166,Frequent_Non_Redeemers,1,161.3,0.0
167,Engaged_Redeemers,0,112.3,0.3540990657738343
168,Engaged_Redeemers,0,106.9,0.3528424463581251
170,Engaged_Redeemers,0,222.8,0.40134149320340917
171,Frequent_Non_Redeemers,1,196.3,0.22544504450128006
172,Frequent_Non_Redeemers,1,120.5,0.10287325853151581
173,Engaged_Redeemers,0,201.1,0.5047461047734697
174,Frequent_Non_Redeemers,1,135.3,0.13079227942277327
175,Engaged_Redeemers,0,121.8,0.4153472304123914
177,Frequent_Non_Redeemers,1,219.6,0.0
178,Occasional_Flyers,2,35.0,0.0
179,Frequent_Non_Redeemers,1,194.3,0.2708329193183765
180,Frequent_Non_Redeemers,1,192.8,0.10698583549624545
181,Frequent_Non_Redeemers,1,127.1,0.0
182,Frequent_Non_Redeemers,1,165.7,0.0
185,Engaged_Redeemers,0,123.4,0.37650159956013024
187,Frequent_Non_Redeemers,1,194.9,0.14158294974164923
188,Frequent_Non_Redeemers,1,122.4,0.0
191,Frequent_Non_Redeemers,1,190.6,0.1745048249414742
192,Frequent_Non_Redeemers,1,246.3,0.2288511358058191
193,Engaged_Redeemers,0,259.4,0.6944492486396893
194,Engaged_Redeemers,0,216.2,0.6059507816921152
195,Engaged_Redeemers,0,154.2,0.6987455721807131
196,Engaged_Redeemers,0,202.7,0.4472184771133502
198,Engaged_Redeemers,0,211.2,0.7370215770947084
199,Frequent_Non_Redeemers,1,182.7,0.08481769485045203
200,Engaged_Redeemers,0,175.8,0.35762918309965547
202,Engaged_Redeemers,0,257.4,0.4175457595630221
203,Frequent_Non_Redeemers,1,132.9,0.0
205,Engaged_Redeemers,0,135.7,0.8766401413122135
206,Frequent_Non_Redeemers,1,241.7,0.0
207,Frequent_Non_Redeemers,1,229.1,0.28558142736941844
208,Frequent_Non_Redeemers,1,131.8,0.0
209,Frequent_Non_Redeemers,1,199.8,0.18832044455859998
211,Frequent_Non_Redeemers,1,194.4,0.10293228282177688
213,Engaged_Redeemers,0,216.7,0.46052182643172845
214,Frequent_Non_Redeemers,1,145.8,0.0
215,Engaged_Redeemers,0,126.0,0.3184323552683498
216,Frequent_Non_Redeemers,1,256.0,0.19612838591438544
217,Engaged_Redeemers,0,306.4,0.42860486480477
218,Occasional_Flyers,2,15.0,1.0
219,Frequent_Non_Redeemers,1,225.8,0.0966400223018766
220,Engaged_Redeemers,0,82.8,0.7439787746874792
221,Frequent_Non_Redeemers,1,155.8,0.0
222,Frequent_Non_Redeemers,1,138.5,0.0
223,Frequent_Non_Redeemers,1,123.6,0.0
224,Frequent_Non_Redeemers,1,117.1,0.18634751838609126
225,Frequent_Non_Redeemers,1,277.4,0.11077544116051458
226,Frequent_Non_Redeemers,1,177.6,0.19173602399217324
227,Frequent_Non_Redeemers,1,238.3,0.26755193100899155
228,Frequent_Non_Redeemers,1,192.9,0.3072128738856515
229,Occasional_Flyers,2,18.0,0.0
230,Engaged_Redeemers,0,165.9,0.7752170778996862
231,Engaged_Redeemers,0,225.7,0.4272021157230991
232,Frequent_Non_Redeemers,1,131.9,0.0
233,Frequent_Non_Redeemers,1,213.8,0.20493266713288458
234,Engaged_Redeemers,0,38.0,1.0
235,Frequent_Non_Redeemers,1,87.5,0.21255543785721767
236,Engaged_Redeemers,0,84.1,0.38530643051985036
237,Frequent_Non_Redeemers,1,213.1,0.27893284822843384
238,Frequent_Non_Redeemers,1,239.9,0.3421504892727239
239,Engaged_Redeemers,0,49.0,0.4035913719478813
240,Engaged_Redeemers,0,219.7,0.5379531314113605
241,Occasional_Flyers,2,7.0,0.0
242,Frequent_Non_Redeemers,1,167.0,0.18318477502525665
244,Engaged_Redeemers,0,239.9,0.4317572847328968
246,Frequent_Non_Redeemers,1,240.7,0.2966585748964729
247,Frequent_Non_Redeemers,1,204.9,0.23765780880609533
248,Engaged_Redeemers,0,180.8,0.3511737665105872
249,Engaged_Redeemers,0,229.6,0.38287624532364284
250,Frequent_Non_Redeemers,1,169.8,0.0
251,Occasional_Flyers,2,11.0,0.0
252,Frequent_Non_Redeemers,1,196.8,0.10891681227886713
253,Engaged_Redeemers,0,218.5,0.43040915471070873
254,Frequent_Non_Redeemers,1,85.1,0.24810042236719076
255,Frequent_Non_Redeemers,1,184.7,0.0
256,Engaged_Redeemers,0,218.8,0.4292349136981594
257,Engaged_Redeemers,0,88.0,0.5316045380875203
258,Frequent_Non_Redeemers,1,86.7,0.1554839919253737
259,Frequent_Non_Redeemers,1,234.3,0.1883505134534323
260,Engaged_Redeemers,0,211.2,0.43706419738393254
261,Frequent_Non_Redeemers,1,187.4,0.2174085006451765
262,Engaged_Redeemers,0,254.8,0.5590517922887539
263,Engaged_Redeemers,0,207.1,0.36895758731103373
264,Occasional_Flyers,2,20.0,0.8267705953500873
265,Engaged_Redeemers,0,188.4,0.5703232477000842
266,Engaged_Redeemers,0,206.7,0.5448426090174543
268,Engaged_Redeemers,0,213.3,0.37604380717235714
269,Engaged_Redeemers,0,239.5,0.438396463144817
270,Frequent_Non_Redeemers,1,153.9,0.28161251377880425
271,Occasional_Flyers,2,6.0,0.0
272,Occasional_Flyers,2,16.0,0.0
273,Occasional_Flyers,2,65.0,0.0
274,Engaged_Redeemers,0,169.2,0.6205985804568782
276,Engaged_Redeemers,0,138.5,0.36257480984952195
279,Frequent_Non_Redeemers,1,182.9,0.09967902643712248
280,Frequent_Non_Redeemers,1,204.7,0.10161321967489627
282,Engaged_Redeemers,0,43.0,0.7633788901696031
284,Frequent_Non_Redeemers,1,205.6,0.28634732094844756
285,Frequent_Non_Redeemers,1,121.6,0.3130056613928696
286,Occasional_Flyers,2,34.0,0.0
287,Engaged_Redeemers,0,174.4,0.40863439947909475
288,Occasional_Flyers,2,18.0,0.0
289,Engaged_Redeemers,0,142.6,0.48141252175905885
290,Engaged_Redeemers,0,39.0,0.6275197195442594
291,Frequent_Non_Redeemers,1,90.0,0.0
293,Occasional_Flyers,2,8.0,0.0
294,Engaged_Redeemers,0,238.0,0.47157798074093416
295,Engaged_Redeemers,0,176.6,0.4580525222981782
296,Engaged_Redeemers,0,204.0,0.5728830019205171
297,Frequent_Non_Redeemers,1,72.0,0.28984212094131667
298,Engaged_Redeemers,0,187.1,0.6429066307480565
299,Frequent_Non_Redeemers,1,158.6,0.0
