Loyalty#,Segment,Cluster,Total_Flights,Redemption_Rate
480934,Frequent_Non_Redeemers,1,194.6,0.266623195600665
549612,Engaged_Redeemers,0,298.1,0.5262699087068943
608370,Engaged_Redeemers,0,195.9,0.42313279682708055
530508,Frequent_Non_Redeemers,1,172.7,0.0
193662,Frequent_Non_Redeemers,1,469.4,0.16521791440783143
927943,Engaged_Redeemers,0,196.1,0.4159333295715604
188893,Frequent_Non_Redeemers,1,215.1,0.1835277234515671
852392,Engaged_Redeemers,0,149.5,0.5485911238928989
866307,Engaged_Redeemers,0,220.1,0.7072857456887587
932823,Frequent_Non_Redeemers,1,240.8,0.17749203209143863
144514,Engaged_Redeemers,0,159.6,0.345556288323296
611765,Frequent_Non_Redeemers,1,86.0,0.20070913740990468
988178,Frequent_Non_Redeemers,1,314.7,0.26799345032761807
286114,Engaged_Redeemers,0,148.4,0.6207344434899552
205785,Engaged_Redeemers,0,197.1,0.49538311780740574
735304,Engaged_Redeemers,0,129.9,0.33549014541435196
438936,Frequent_Non_Redeemers,1,279.9,0.0872164491521609
243713,Frequent_Non_Redeemers,1,206.0,0.0
413741,Engaged_Redeemers,0,189.5,0.8969794287461846
552965,Occasional_Flyers,2,11.0,0.0
642313,Engaged_Redeemers,0,169.7,0.5624783325088325
263080,Frequent_Non_Redeemers,1,140.3,0.10862748796658939
109767,Engaged_Redeemers,0,231.0,0.44601818768540513
217754,Frequent_Non_Redeemers,1,169.2,0.0
157005,Frequent_Non_Redeemers,1,254.1,0.13805577818695877
557752,Engaged_Redeemers,0,94.3,0.5007277135490608
608758,Frequent_Non_Redeemers,1,183.1,0.0
599341,Frequent_Non_Redeemers,1,294.4,0.31003145309937036
333502,Frequent_Non_Redeemers,1,186.1,0.09503108370116133
403361,Frequent_Non_Redeemers,1,77.9,0.0
543918,Engaged_Redeemers,0,266.7,0.958477748028531
806030,Occasional_Flyers,2,50.0,0.3680297397769517
119200,Frequent_Non_Redeemers,1,145.3,0.2986334465780603
175967,Frequent_Non_Redeemers,1,187.8,0.18118172976076366
238119,Frequent_Non_Redeemers,1,242.5,0.12332757837125231
730388,Frequent_Non_Redeemers,1,235.3,0.0
127400,Frequent_Non_Redeemers,1,139.4,0.2017915102892063
324557,Frequent_Non_Redeemers,1,160.6,0.28091150263086
742002,Frequent_Non_Redeemers,1,140.3,0.1623819276287126
536567,Frequent_Non_Redeemers,1,277.2,0.22654260894310319
704835,Engaged_Redeemers,0,185.1,0.5253750579403752
758635,Occasional_Flyers,2,31.0,0.0
823048,Occasional_Flyers,2,63.0,0.0
612905,Frequent_Non_Redeemers,1,186.8,0.2905486778474546
679908,Frequent_Non_Redeemers,1,199.7,0.252196038109149
704150,Frequent_Non_Redeemers,1,199.2,0.2715630618918938
596179,Frequent_Non_Redeemers,1,238.2,0.0
370450,Engaged_Redeemers,0,207.3,0.4144067379039351
501030,Frequent_Non_Redeemers,1,136.5,0.0
878633,Frequent_Non_Redeemers,1,246.0,0.0
285938,Frequent_Non_Redeemers,1,193.9,0.1282407686576393
588237,Engaged_Redeemers,0,178.6,0.6559878340285916
645280,Frequent_Non_Redeemers,1,222.4,0.31282230682807904
864324,Engaged_Redeemers,0,212.4,0.43422977866146634
124678,Frequent_Non_Redeemers,1,251.3,0.10049507805254804
186015,Engaged_Redeemers,0,187.5,0.39807328456606733
461108,Occasional_Flyers,2,6.0,0.0
589580,Engaged_Redeemers,0,250.2,0.3959367357559377
623688,Engaged_Redeemers,0,255.9,0.5501829775037818
751616,Engaged_Redeemers,0,89.3,0.37555905166743375
256147,Frequent_Non_Redeemers,1,231.5,0.09988073451766476
140392,Engaged_Redeemers,0,167.6,0.511717262283322
541008,Occasional_Flyers,2,52.0,0.0
230908,Frequent_Non_Redeemers,1,257.1,0.24521963748072628
972581,Engaged_Redeemers,0,149.5,0.490768241187411
157729,Occasional_Flyers,2,58.0,0.0
910875,Frequent_Non_Redeemers,1,164.2,0.11230701568972962
501704,Engaged_Redeemers,0,186.0,1.0
529098,Engaged_Redeemers,0,98.3,0.9492348023239338
567875,Frequent_Non_Redeemers,1,76.3,0.0
688524,Engaged_Redeemers,0,130.7,1.0
269070,Frequent_Non_Redeemers,1,220.0,0.2935473404331894
387705,Engaged_Redeemers,0,248.0,0.36977194341051983
923293,Frequent_Non_Redeemers,1,238.9,0.207294237081597
789157,Occasional_Flyers,2,12.0,0.0
984713,Occasional_Flyers,2,15.0,1.0
114835,Frequent_Non_Redeemers,1,128.3,0.0
328936,Engaged_Redeemers,0,230.20000000000002,0.3797787257064034
845864,Engaged_Redeemers,0,217.6,0.4297998579436279
645265,Frequent_Non_Redeemers,1,169.8,0.057510451212129846
223587,Frequent_Non_Redeemers,1,129.4,0.30891618035595036
158560,Engaged_Redeemers,0,156.8,0.7256696635036223
417584,Frequent_Non_Redeemers,1,203.5,0.2535377374145119
957912,Frequent_Non_Redeemers,1,192.9,0.0
